Domain name,Domain type,Agency,Organization name,City,State,Security contact email
ahidta.gov,Interstate,Non-Federal Agency,Appalachia HIDTA,London,KY,security@ahidta.org
alabamasoilandwater.gov,Interstate,Non-Federal Agency,Alabama Soil and Water Conservation Committee,Montgomery,AL,shelly.hyde@swcc.alabama.gov
cassclayalerts.gov,Interstate,Non-Federal Agency,Red River Regional Dispatch Center,Fargo,ND,security@FargoND.GOV
ccpgmpo.gov,Interstate,Non-Federal Agency,Charlotte County - Punta Gorda MPO,Port Charlotte,FL,Office@ccmpo.com
coda23.gov,Interstate,Non-Federal Agency,DA18 Colorado,Centennial,CO,sselby@coda18.gov
court23taylormi.gov,Interstate,Non-Federal Agency,23rd District Court,Taylor,MI,dwarunek@ci.taylor.mi.us
cvwrfut.gov,Interstate,Non-Federal Agency,Central Valley Water Reclamation Facility,South Salt Lake,UT,crookstonj@cvwrf.org
drbc.gov,Interstate,Non-Federal Agency,Delaware River Basin Commission,West Trenton,NJ,(blank)
ecvtd.gov,Interstate,Non-Federal Agency,East Central Vermont Telecommunications District,S. Royalton,VT,chair@ecfiber.net
emscompact.gov,Interstate,Non-Federal Agency,Interstate Commission for EMS Personnel Practice,Mechanicsburg,PA,swessinger@nremt.org
flwg.gov,Interstate,Non-Federal Agency,"Civil Air Patrol, Florida Wing, Auxiliary Air Force ",Opa Locka,FL,(blank)
fmdiversion.gov,Interstate,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
gcwatx.gov,Interstate,Non-Federal Agency,Gulf Coast Water Authority,Texas City,TX,bbennight@gcwatx.gov
gulfcoastwaterauthoritytx.gov,Interstate,Non-Federal Agency,Gulf Coast Water Authority,Texas City,TX,bbennight@gcwatx.gov
hylandhills.gov,Interstate,Non-Federal Agency,Hyland Hills Parks and Recreation District,Federal Heights,CO,sbeck@hylandhills.org
infuse-mn.gov,Interstate,Non-Federal Agency,MMCAP INFUSE,Saint Paul,MN,nic@nic.state.mn.us
livermorefireco.gov,Interstate,Non-Federal Agency,Livermore Fire Protection District,Livermore,CO,(blank)
lrsa-nj.gov,Interstate,Non-Federal Agency,Linden Roselle Sewerage Authority,Linden,NJ,security@lrsa-nj.gov
midwest-hidta.gov,Interstate,Non-Federal Agency,Midwest HIDTA,Kansas City,MO,(blank)
mtc.gov,Interstate,Non-Federal Agency,Multistate Tax Commission,Washington,DC,(blank)
nlc.gov,Interstate,Non-Federal Agency,Interstate Commission of Nurse LicensureCompact Administrators,Chicago,IL,informationsecurityassurance@ncsbn.org
nwcouncil.gov,Interstate,Non-Federal Agency,Northwest Power and Conservation Council,Portland,OR,ismanager@nwcouncil.org
pacificflyway.gov,Interstate,Non-Federal Agency,Pacific Flyway Council,Vancouver,WA,todd_sanders@fws.gov
panynj.gov,Interstate,Non-Federal Agency,The Port Authority of New York and New Jersey,New York,NY,sshtun@panynj.gov
phoenix-correspondence-commission.gov,Interstate,Non-Federal Agency,Phoenix Correspondence Commission,Loomis,CA,(blank)
slpidny.gov,Interstate,Non-Federal Agency,Saratoga Lake Protection and Improvement District,Saratoga Springs,NY,service@storedtech.com
spaceflorida.gov,Interstate,Non-Federal Agency,Space Florida,Cape Canaveral,FL,(blank)
srbc.gov,Interstate,Non-Federal Agency,Susquehanna River Basin Commission,Harrisburg,PA,blidle@srbc.gov
trpa.gov,Interstate,Non-Federal Agency,Tahoe Regional Planning Agency,Stateline,NV,ckeillor@trpa.org
ucr.gov,Interstate,Non-Federal Agency,Unified Carrier Registration Plan,Atlanta,GA,is-webadmin@kellencompany.com
vtcourts.gov,Interstate,Non-Federal Agency,Vermont Judiciary,Montpelier,VT,jud.helpdesk@vermont.gov
wmataoig.gov,Interstate,Non-Federal Agency,"Inspector General, Washington Metropolitan Area Transit Authority",Washington,DC,security@wmataoig.gov
wmatc.gov,Interstate,Non-Federal Agency,Washington Metropolitan Area Transit Commission,Silver Spring,MD,MSAMAMA@WMATC.GOV
wmsc.gov,Interstate,Non-Federal Agency,Washington Metrorail Safety Commission,Washington,DC,(blank)
