Domain name,Domain type,Agency,Organization name,City,State,Security contact email
acsd-az.gov,Special district,Non-Federal Agency,Arizona City Sanitary District ,Arizona City,AZ,acsdinfo@azcitysewer.net
actransit.gov,Special district,Non-Federal Agency,AC Transit,Oakland,CA,tjalali@actransit.org
adamscountycoelections.gov,Special district,Non-Federal Agency,"Adams County Clerk & Recorder, Elections",Brighton,CO,barcher@adcogov.org
akronhousing.gov,Special district,Non-Federal Agency,Akron Metropolitan Housing Authority,Akron,OH,infosec@akronhousing.org
alsar.gov,Special district,Non-Federal Agency,Alabama Search and Rescue,Montevallo,AL,chief@alsar.gov
apcdca.gov,Special district,Non-Federal Agency,ALLIANCE OF PEST CONTROL DISTRICTS,TULARE,CA,sam@pintec.net
artransparency.gov,Special district,Non-Federal Agency,Association of Arkansas Counties,Little Rock,AR,mharrell@arcounties.org
arvadafireco.gov,Special district,Non-Federal Agency,Arvada Fire Protection District,Arvada,CO,security@arvadafireco.gov
attawauganfirect.gov,Special district,Non-Federal Agency,Attawaugan Fire District,Dayville,CT,jeff@jbuchbinder.com
baaqmd.gov,Special district,Non-Federal Agency,Bay Area Air Quality Management District,San Francisco,CA,security@baaqmd.gov
banninglibraryca.gov,Special district,Non-Federal Agency,Banning Library District,Banning,CA,kevin@banninglibrarydistrict.org
bartonmohealth.gov,Special district,Non-Federal Agency,Barton County Health Department,Lamar,MO,support@strongholddata.com
bayareametro.gov,Special district,Non-Federal Agency,Metropolitan Transportation Commission,San Francisco,CA,pkant@bayareametro.gov
blockhousemudtx.gov,Special district,Non-Federal Agency,Block House Municipal Utility,Leander,TX,ltorres@crossroadsus.com
bnwrdil.gov,Special district,Non-Federal Agency,Bloomington and Normal Water Reclamation District,Bloomington,IL,abuse@bnwrdil.gov
boenyc.gov,Special district,Non-Federal Agency,The Board of Elections in the City of New York,New York,NY,misdevops@boe.nyc
boonecsdia.gov,Special district,Non-Federal Agency,Boone Community School District,Boone,IA,tech@boone.k12.ia.us
bridgercanyonfiremt.gov,Special district,Non-Federal Agency,Bridger Canyon Fire Department,Bozeman,MT,evanbockel@bridgercanyonfiremt.gov
buttedesmortssd1wi.gov,Special district,Non-Federal Agency,BUTTEDESMORTSSD1WI.GOV,Butte des Morts,WI,techasst@winhaven.net
bvrpd-pa.gov,Special district,Non-Federal Agency,Beaver Valley Regional Police Department,Conway,PA,police@conwaypa.org
calhounmi911.gov,Special district,Non-Federal Agency,Calhoun County Consolidated Dispatch Authority,Marshall,MI,trasey@calhouncountymi.gov
californiaintegratedtravel.gov,Special district,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
californiapass.gov,Special district,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
cal-itp.gov,Special district,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
calitp.gov,Special district,Non-Federal Agency,Capitol Corridor,Oakland,CA,info@capitolcorridor.org
cambridgeretirementma.gov,Special district,Non-Federal Agency,City of Cambridge Contributory Retirement System,Cambridge,MA,cburns@cambridgeretirementma.gov
carrollcotne911.gov,Special district,Non-Federal Agency,Carroll County Emergency Communications District,Huntingdon,TN,kristymeggs@carroll911.com
casscoroadmi.gov,Special district,Non-Federal Agency,Cass County Road Commission,Cassopolis,MI,rthompson@casscoroad.com
catchteamca.gov,Special district,Non-Federal Agency,C.A.T.C.H.,San Diego,CA,websecurity@catchteam.org
cazfire.gov,Special district,Non-Federal Agency,Central Arizona Fire and Medical Authority,Prescott Valley,AZ,soc@cazfire.gov
cbhcfl.gov,Special district,Non-Federal Agency,Children's Board of Hillsborough County,Tampa,FL,cbit@childrensboard.org
cccera.gov,Special district,Non-Federal Agency,Contra Costa County Employees' Retirement Association,Concord,CA,info@cccera.org
ccdohnj.gov,Special district,Non-Federal Agency,Cumberland County Department of Health,Millville,NJ,kmason@ccdohnj.gov
ccuanj.gov,Special district,Non-Federal Agency,Cumberland County Utilities Authority,Bridgeton,NJ,smick@ccua.info
cdfr-or.gov,Special district,Non-Federal Agency,Central Douglas Fire & Rescue Authority,Winston,OR,computers@dcfd.org
centralpinesnc.gov,Special district,Non-Federal Agency,Central Pines Regional Council ,Durham,NC,(blank)
centrecountyvotes.gov,Special district,Non-Federal Agency,Centre County Government ,Bellefonte,PA,infosec@centrecountypa.gov
cfpd-il.gov,Special district,Non-Federal Agency,Carroll Fire Protection District,Urbana,IL,jasony@volo.net
champaigncountyclerkil.gov,Special district,Non-Federal Agency,Champaign County Clerk,Urbana,IL,security@champaigncountyclerkIL.gov
chicorec.gov,Special district,Non-Federal Agency,Chico Area Recreation and Parks District,Chico,CA,support@stratti.com
chsvotes.gov,Special district,Non-Federal Agency,Charleston County Board of Voter Registration & Elections,North Charleston,SC,bevr@charlestoncounty.org
circuitclerkmarioncountyms.gov,Special district,Non-Federal Agency,Marion County Circuit Clerk,Columbia,MS,circuitclerk@marioncountyms.com
cirdcil.gov,Special district,Non-Federal Agency,Central Illinois Regional Dispatch Center,Decatur,IL,doit.security@illinois.gov
coda18.gov,Special district,Non-Federal Agency,"Office of the District Attorney, 18th Judicial District, Col",Centennial,CO,sselby@da18.state.co.us
colliervotes.gov,Special district,Non-Federal Agency,Collier County Supervisor of Elections,Naples,FL,itsoe@colliercountyfl.gov
coloradoarta.gov,Special district,Non-Federal Agency,Aerotropolis Regional Transportation Authority,Greenwood Village,CO,nathan.dow@claconnect.com
coloradochildrep.gov,Special district,Non-Federal Agency,Colorado Office of the Child's Representative,Denver,CO,administrator@coloradochildrep.org
coloradorangers.gov,Special district,Non-Federal Agency,Colorado Rangers Law Enforcement Shared Reserve ,Ft. Lupton,CO,aaron.ruffalo@coloradorangers.org
communitypowernh.gov,Special district,Non-Federal Agency,Community Power Coalition of New Hampshire (CPCNH),Lebanon,NH,admin@cpcnh.org
contracostacre.gov,Special district,Non-Federal Agency,Contra Costa County Clerk-Recorder-Elections Department,Martinez,CA,electionsIT@vote.cccounty.us
contracostacr.gov,Special district,Non-Federal Agency,Contra Costa County Clerk-Recorder-Elections Department,Martinez,CA,electionsIT@vote.cccounty.us
cooperativecogohio.gov,Special district,Non-Federal Agency,"The Cooperative Council of Governments, Inc.",Cleveland,OH,website@equalisgroup.org
cortezsanitation.gov,Special district,Non-Federal Agency,Cortez Sanitation District,Cortez,CO,jan.nelson@cortezsanitation.com
cosumnescsd.gov,Special district,Non-Federal Agency,Cosumnes Community Services District,Elk Grove,CA,csdit@yourcsd.com
cottonwoodimprovement.gov,Special district,Non-Federal Agency,Cottonwood Improvement District,Sandy,UT,gbneff@cid.utah.gov
coventryfdri.gov,Special district,Non-Federal Agency,Coventry Fire District ,Coventry,RI,rob.firetaxcollector@gmail.com
cpws.gov,Special district,Non-Federal Agency,Columbia Power and Water Systems,Columbia,TN,cpwscontact@cpws.com
crca911co.gov,Special district,Non-Federal Agency,Combined Regional Communications Authority,Canon City,CO,supervisors@frecom911.com
cua911.gov,Special district,Non-Federal Agency,Charlottesville-UVA-Albemarle County Emergency Communications Center,Charlottesville,VA,eccsup@albemarle.org
cuwcd.gov,Special district,Non-Federal Agency,Central Utah Water Conservancy District,Orem,UT,john@cuwcd.gov
cvwdwater.gov,Special district,Non-Federal Agency,Cucamonga Valley Water District,Rancho Cucamonga,CA,webmaster@cvwdwater.com
da4colorado.gov,Special district,Non-Federal Agency,4th Judicial District Attorney's Office,Colorado Springs,CO,rossietrujillo@elpasoco.com
dakota911mn.gov,Special district,Non-Federal Agency,Dakota Communications Center,Rosemount,MN,phartwig@logis.org
darrouzettisd.gov,Special district,Non-Federal Agency,Darrouzett ISD,Darrouzett,TX,domain@darrouzettisd.net
