Domain name,Domain type,Agency,Organization name,City,State,Security contact email
4thjdcar.gov,State or territory,Non-Federal Agency,Boone County District Court,Harrison,AR,ian.kimmey@ikktech.com
511wi.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,Milwaukee,WI,dotcomputersecurity@dot.wi.gov
abletn.gov,State or territory,Non-Federal Agency,Office for Information Resources,Nashville,TN,Cyber.Security@tn.gov
accessoklahoma.gov,State or territory,Non-Federal Agency,"Oklahoma, Office of Management and Enterprise Services",Oklahoma City,OK,cybercommand@omes.ok.gov
adrcnj.gov,State or territory,Non-Federal Agency," NJ Department of Human Services, DoAS",Mercerville,NJ,(blank)
advancealabama.gov,State or territory,Non-Federal Agency,Alabama Department of Labor,Montgomery,AL,christopher.may@labor.alabama.gov
agutah.gov,State or territory,Non-Federal Agency,Utah Attorney General's Office,Salt Lake City,UT,cearl@agutah.gov
akaerospace.gov,State or territory,Non-Federal Agency,Alaska Aerospace Development Corporation,Anchorage,AK,mark.breunig@alaska.gov
akcourts.gov,State or territory,Non-Federal Agency,State of Alaska Court System,Anchorage,AK,security@akcourts.gov
ak.gov,State or territory,Non-Federal Agency,State of Alaska,Juneau,AK,(blank)
alabamaable.gov,State or territory,Non-Federal Agency,Alabama ABLE Savings Plan,Montgomery,AL,soc@oit.alabama.gov
alabamaageline.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
alabamaag.gov,State or territory,Non-Federal Agency,Alabama Office of the Attorney General,Montgomery,AL,security@ago.state.al.us
alabamabuys.gov,State or territory,Non-Federal Agency,Purchasing Division of the Department of Finance,Montgomery,AL,rob.glenn@finance.alabama.gov
alabamada.gov,State or territory,Non-Federal Agency,Alabama District Attorneys Association,Montgomery,AL,marty.redden@finance.alabama.gov
alabamadementia.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
alabama.gov,State or territory,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
alabamahousephotos.gov,State or territory,Non-Federal Agency,Alabama Legislature,Montgomery,AL,(blank)
alabamaombudsman.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
alabamapublichealth.gov,State or territory,Non-Federal Agency,Alabama Department of Public Health,Montgomery,AL,Lori.Earle@adph.state.al.us
alabamavotes.gov,State or territory,Non-Federal Agency,Alabama Secretary of State,Montgomery,AL,(blank)
alabcboard.gov,State or territory,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,INFOSEC@abc.alabama.gov
alabc.gov,State or territory,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,INFOSEC@abc.alabama.gov
alabpp.gov,State or territory,Non-Federal Agency,Alabama Pardons and Paroles,Montgomery,AL,Robert.barclay@alacourt.gov
alacop.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,SOC@alea.gov
alacourt.gov,State or territory,Non-Federal Agency,Unified Judicial System - State of Alabama,Montgomery,AL,Robert.barclay@alacourt.gov
alada.gov,State or territory,Non-Federal Agency,Administrative Office of Courts,Mongomery,AL,Robert.barclay@alacourt.gov
aladna.gov,State or territory,Non-Federal Agency,AOC,Montgomery,AL,Robert.barclay@alacourt.gov
alappeals.gov,State or territory,Non-Federal Agency,State of Alabama Supreme Court,Montgomery,AL,security@alappeals.gov
alasafe.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,SOC@alea.gov
alaskacapitol.gov,State or territory,Non-Federal Agency,Alaska Legislature,juneau,AK,postmaster@akleg.gov
alaskacare.gov,State or territory,Non-Federal Agency,State of Alaska - Division of Retirement & Benefits,Juneau,AK,will.jones@alaska.gov
alaska.gov,State or territory,Non-Federal Agency,State of Alaska,Juneau,AK,(blank)
albme.gov,State or territory,Non-Federal Agency,Alabama Board of Medical Examiners,Montgomery,AL,chart@albme.gov
alconservationdistricts.gov,State or territory,Non-Federal Agency,Alabama Soil & Water Conservation Committee,Montgomery,AL,(blank)
alcovidvaccine.gov,State or territory,Non-Federal Agency,Alabama Department of Public Health,Montgomery,AL,Josh.McCartha@adph.state.al.us
aldoi.gov,State or territory,Non-Federal Agency,Alabama Department of Insurance,Montgomery,AL,ALDOI.Webmaster@insurance.alabama.gov
aldorlocal.gov,State or territory,Non-Federal Agency,Alabama Department of Revenue Sales Tax,Montgomery,AL,computer.security@revenue.alabama.gov
