Domain name,Domain type,Agency,Organization name,City,State,Security contact email
29palmsbomi-nsn.gov,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
29palmsgaming-nsn.gov,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
absenteeshawneetribe-nsn.gov,Tribal,Non-Federal Agency,Absentee Shawnee Tribe of Indians of Oklahoma,Shawnee,OK,(blank)
aguacaliente-nsn.gov,Tribal,Non-Federal Agency,Agua Caliente Band of Cahuilla Indians,Palm Springs,CA,edarancette@aguacaliente.net
aha-nsn.gov,Tribal,Non-Federal Agency,Akwesasne Housing Authority,Hogansburg,NY,CRANSOM@AHA-NSN.GOV
ak-chin-nsn.gov,Tribal,Non-Federal Agency,Ak-Chin Indian Community,Maricopa,AZ,RHUFFAKER@AK-CHIN.NSN.US
akiakira-nsn.gov,Tribal,Non-Federal Agency,Akiak Native Community,Akiak,AK,shamer@akiaktechnology.com
arcticvillage.gov,Tribal,Non-Federal Agency,Arctic Village,Arctic Village,AK,byron.bluehorse@arcticvillage.gov
augustinetribe-nsn.gov,Tribal,Non-Federal Agency,Augustine Band of Cahuilla Indians,Coachella,CA,(blank)
badriver-nsn.gov,Tribal,Non-Federal Agency,Bad River Band Of Lake Superior Tribe Of Chippewa Indians,Odanah,WI,(blank)
barona-nsn.gov,Tribal,Non-Federal Agency,Barona Band of Mission Indians,Lakeside,CA,shazim@barona-nsn.gov
bihasitka-nsn.gov,Tribal,Non-Federal Agency,Baranof Island Housing Authority,Sitka,AK,(blank)
bluelakerancheria-nsn.gov,Tribal,Non-Federal Agency,Blue Lake Rancheria,Blue Lake,CA,knorton@bluelakerancheria-nsn.gov
boisforte-nsn.gov,Tribal,Non-Federal Agency,Bois Forte Reservation Tribal Council,Nett Lake,MN,(blank)
brb-nsn.gov,Tribal,Non-Federal Agency,BEAR RIVER BAND OF THE ROHNERVILLE RANCHERIA,LOLETA,CA,(blank)
burnspaiute-nsn.gov,Tribal,Non-Federal Agency,Burns Paiute Tribe,Burns,OR,mocanjl3@burnspaiute-nsn.gov
bvr-nsn.gov,Tribal,Non-Federal Agency,Big Valley Rancheria,Lakeport,CA,noc@big-valley.net
cabazonindians-nsn.gov,Tribal,Non-Federal Agency,Cabazon Band of Mission Indians,Indio,CA,dlindsey@fantasysprings.net
cahtotribe-nsn.gov,Tribal,Non-Federal Agency,Catho Tribe,Laytonville,CA,(blank)
cahuilla-nsn.gov,Tribal,Non-Federal Agency,Cahuilla Band of Indians,Anza,CA,tribalcouncil@cahuilla-nsn.gov
campo-nsn.gov,Tribal,Non-Federal Agency,Campo Kumeyaay Nation,Campo,CA,tcervantes@campo-nsn.gov
cayuganation-nsn.gov,Tribal,Non-Federal Agency,Cayuga Nation,Seneca Falls ,NY,bjradford@gocayuga.com
ccthita-nsn.gov,Tribal,Non-Federal Agency,Central Council Tlingit and Haida Indian Tribes of Alaska ,Juneau,AK,(blank)
cdatribe-nsn.gov,Tribal,Non-Federal Agency,Coeur d' Alene Tribe,Plummer,ID,Domainregistration@cdatribe-nsn.gov
chehalis-nsn.gov,Tribal,Non-Federal Agency,Confederated Tribes of the Chehalis Reservation,Oakville,WA,webmaster@chehalistribe.org
cherokee-nsn.gov,Tribal,Non-Federal Agency,Cherokee Nation,Tahlequah,OK,jon-james@cherokee.org
cheyenneandarapaho-nsn.gov,Tribal,Non-Federal Agency,Cheyenne and Arapaho Tribes,Concho,OK,jasmith@cheyenneandarapaho-nsn.gov
chickaloon-nsn.gov,Tribal,Non-Federal Agency,Chickaloon Native Village,Chickaloon,AK,(blank)
chickasawartisans-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasaw-government-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,tommiel.goad@chickasaw.net
chickasawgovernment-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasawjudicial-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasawlegislature-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasawnation-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasaw-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chickasawtribe-nsn.gov,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
chilkat-nsn.gov,Tribal,Non-Federal Agency,Chilkat Indian Village Tribal Government,Haines,AK,(blank)
chilkoot-nsn.gov,Tribal,Non-Federal Agency,Chilkoot Indian Association,Haines,AK,(blank)
chippewacree-nsn.gov,Tribal,Non-Federal Agency,Chippewa Cree Tribe,Box Elder,MT, 
chitimacha.gov,Tribal,Non-Federal Agency,Chitimacha Tribe of Louisiana,Charenton,LA,C-IT@chitimacha.gov
chukchansihealthsafety.gov,Tribal,Non-Federal Agency,Picayune Rancheria of the Chukchansi Indians,Oakhurst,CA,itadmin@chukchansi-nsn.gov
chukchansi-nsn.gov,Tribal,Non-Federal Agency,Picayune Rancheria of the Chukchansi Indians,Fresno,CA,itadmin@chukchansi-nsn.gov
chumash.gov,Tribal,Non-Federal Agency,Santa Ynez Band of Chumash Indians,Santa Ynez,CA,Mark.Badal@chumashenterprises.com
cit-nsn.gov,Tribal,Non-Federal Agency,Chemehuevi Indian Tribe,Havasu Lake,CA,it@cit-nsn.gov
cocopah.gov,Tribal,Non-Federal Agency,Cocopah Indian Tribe,Somerton,AZ,mcsweeneyn@cocopah.gov
coldspringsrancheria.gov,Tribal,Non-Federal Agency,Cold Springs Rancheria ,Tollhouse,CA,engineers@gopcsolutions.com
colusa-nsn.gov,Tribal,Non-Federal Agency,Colusa Indian Community Council,Colusa,CA,mis@colusa-nsn.gov
comanchenationpolice.gov,Tribal,Non-Federal Agency,Comanche Nation Law Enforcement,Lawton,OK,it@ctg-us.com
cowcreek-nsn.gov,Tribal,Non-Federal Agency,Cow Creek Band of Umpqua Tribe of Indians,Roseburg,OR,(blank)
coyotevalley-nsn.gov,Tribal,Non-Federal Agency,Coyote Valley Tribe,Redwood valley,CA,(blank)
crhc-nsn.gov,Tribal,Non-Federal Agency,Chico Rancheria Housing Corporation,Chico,CA,(blank)
critfc-nsn.gov,Tribal,Non-Federal Agency,Columbia River Inter-Tribal Fish Commission,Portland,OR,Bcampbell@critfc.org
crit-nsn.gov,Tribal,Non-Federal Agency,Colorado River Indian Tribes,Parker,AZ,(blank)
