url,# Locations
59dcmi.gov,7
aberdeenmd.gov,6
aberdeenwa.gov,4
abingdon-va.gov,12
abingtonma.gov,6
abingtonpa.gov,7
abitaspringsla.gov,6
abseconnj.gov,1
acnj.gov,6
acnjpolice.gov,6
acton-ma.gov,2
actonma.gov,2
acworth-ga.gov,2
adak-ak.gov,4
adamn.gov,4
addisontx.gov,12
addisonwi.gov,7
adelantoca.gov,6
adrianmi.gov,1
adriantwpmi.gov,4
aftonwyoming.gov,10
ahoskienc.gov,2
alamedaca.gov,12
alamoheightstx.gov,6
alamotownshipmi.gov,1
albanyga.gov,7
albanyny.gov,4
albanyoregon.gov,7
albemarlenc.gov,6
alberttwpmi.gov,1
albertvillemn.gov,7
albuquerque-nm.gov,0
aledoil.gov,6
aledotx.gov,7
aleknagikak.gov,1
alexandercityal.gov,20
alexandrianj.gov,6
alexandriava.gov,4
alfredme.gov,6
algonaiowa.gov,7
algonawa.gov,1
algoodtn.gov,7
aliquippapa.gov,2
allendalenj.gov,6
allenstownnh.gov,2
allentownpa.gov,4
allianceoh.gov,7
almaarkansas.gov,2
almacenterwi.gov,3
almenatownship.gov,1
alpinewy.gov,5
alsteadnh.gov,4
altavistava.gov,13
alton-tx.gov,3
altoonapa.gov,7
altoona-wi.gov,6
altusok.gov,4
amarillo.gov,12
ameniany.gov,3
americanfork.gov,7
americusga.gov,6
amerywi.gov,7
amesburyma.gov,4
amherstma.gov,10
amherstnh.gov,4
amherstva.gov,2
amityvillepdny.gov,4
amsterdamny.gov,2
anchorageak.gov,2
andalusiaal.gov,6
andersontx.gov,9
andoverma.gov,4
andovermn.gov,6
andover-nh.gov,7
andrewsnc.gov,7
angelfirenm.gov,2
angelscamp.gov,6
ankenyiowa.gov,4
annapolis.gov,7
annatexas.gov,4
annettatx.gov,2
annistonal.gov,7
antiochcaboard.gov,6
antiochcacommission.gov,6
antiochcacommittee.gov,6
antiochca.gov,6
antiochtownshipil.gov,2
antrimnh.gov,2
apachejunctionaz.gov,4
apexnc.gov,4
appletonmn.gov,2
appletonwi.gov,6
applevalleyca.gov,6
applevalleymn.gov,6
applevalleyut.gov,5
appomattoxva.gov,7
aptx.gov,13
aquinnah-ma.gov,8
aransaspasstx.gov,13
arcadami.gov,1
arcadiaca.gov,6
arcadia-fl.gov,4
archbaldboroughpa.gov,2
archdale-nc.gov,4
archerlodgenc.gov,4
arcoidaho.gov,7
arcolapdtx.gov,4
arcolatexas.gov,7
ardmoreok.gov,2
arkadelphia.gov,1
arkansascityks.gov,4
arlingtonma.gov,6
arlingtonmn.gov,4
arlingtonne.gov,7
arlingtontx.gov,2
arlingtonwa.gov,6
artesianm.gov,7
arthur-il.gov,7
ashburnham-ma.gov,7
ashbyma.gov,2
asheboronc.gov,1
ashevillenc.gov,7
ashgrovemo.gov,2
ashlandcitytn.gov,7
ashlandky.gov,4
ashlandva.gov,4
ashtonid.gov,7
ashvilleohio.gov,7
ashwaubenon.gov,7
aspen.gov,7
assyriatwpmi.gov,1
atchisonkspolice.gov,6
athelstanewiclerk.gov,2
athensil.gov,1
athenstn.gov,8
athenstx.gov,7
athensvillageny.gov,4
athensvt.gov,7
atkinson-nh.gov,3
atlantaga.gov,2
atlantisfl.gov,6
attica-in.gov,2
atwatermn.gov,6
aubreytx.gov,4
auburnmaine.gov,4
auburnmi.gov,1
auburnny.gov,6
auburnwa.gov,12
augustaga.gov,4
augustaky.gov,1
augustamaine.gov,4
aultcolorado.gov,7
auroramo.gov,7
auroratexas.gov,7
ausabletwp-mi.gov,1
austellga.gov,2
austin.gov,0
austintexas.gov,4
austintx.gov,0
avonct.gov,4
avondaleaz.gov,2
avondaleestatesga.gov,6
avonindiana.gov,2
avon-ma.gov,2
az-fhsd.gov,6
aztecnm.gov,7
azusaca.gov,6
badenpa.gov,4
bagleytownshipmi.gov,1
baileysharborwi.gov,2
bainbridgewa.gov,4
bakercity.gov,7
bakercitypd.gov,7
baldwincity.gov,4
balharbourfl.gov,2
baltimorecity.gov,2
banderatx.gov,4
bangormaine.gov,6
banningca.gov,6
baraboowi.gov,4
bardstownky.gov,7
barharbormaine.gov,2
barlingar.gov,1
barnesvilleohio.gov,1
barnunnwy.gov,2
barringtonhills-il.gov,7
barrington-il.gov,6
bartlettil.gov,6
basslakewi.gov,1
bataviail.gov,4
bataviaoh.gov,8
batesvillearkansas.gov,1
battlecreekmi.gov,7
battlefieldmo.gov,7
baxleyga.gov,4
baxtermn.gov,4
bayharborislands-fl.gov,4
baysidewi.gov,4
baystlouis-ms.gov,7
bayvilleny.gov,7
bcutah.gov,2
beachhaven-nj.gov,1
beaconny.gov,4
bearcreektownshipmi.gov,7
beaumont-ca.gov,6
beaumontca.gov,2
beaumonttexas.gov,2
beauxarts-wa.gov,7
beavercreekohio.gov,4
beavertonoregon.gov,2
beavertwp-oh.gov,4
beckemeyeril.gov,1
bedfordboroughpa.gov,12
bedfordchartertwpmi.gov,4
bedfordheights.gov,7
bedfordma.gov,6
bedfordny.gov,4
bedfordoh.gov,7
bedfordtx.gov,4
bedfordva.gov,6
beecavetexas.gov,4
belaireks.gov,4
belen-nm.gov,6
belgiumwi.gov,2
belgrademt.gov,4
bellairetx.gov,4
bellavistaar.gov,4
belleairbluffs-fl.gov,6
bellefontepa.gov,4
belleislefl.gov,4
bellemeade-ky.gov,9
belleplaineiowa.gov,6
belleplainemn.gov,1
belleriveacresmo.gov,7
bellevueia.gov,7
bellevuewa.gov,4
bellmeadtx.gov,2
bellportvillageny.gov,9
belmont.gov,4
belmont-ma.gov,6
belmontnh.gov,7
beloitwi.gov,6
beltontexas.gov,2
belvidereil.gov,2
belviderepoliceil.gov,2
belvideretownshipmi.gov,1
benbrook-tx.gov,4
bendoregon.gov,7
benningtonne.gov,0
benningtontownshipmi.gov,1
bensalempa.gov,12
bensonaz.gov,4
bentleyks.gov,2
bentonchartertownship-mi.gov,1
bentonil.gov,7
bentonwi.gov,7
bereaky.gov,4
bergenfieldnj.gov,13
bergenfieldnjpd.gov,6
berkeleyca.gov,4
berlinal.gov,7
berlinct.gov,7
berlinnh.gov,12
berlinnhpd.gov,12
berlintwpioniami.gov,6
berlinvt.gov,2
bernardsville.gov,7
berryvillear.gov,7
berryvilleva.gov,6
berthold-nd.gov,1
berwickpa.gov,1
berwynheightsmd.gov,7
berwyn-il.gov,9
bethanytownshipmi.gov,2
bethel-ct.gov,7
bethel-oh.gov,2
bethelparkpa.gov,7
bethelparkpapolice.gov,6
betheltwplebanon.gov,2
bethlehemnj.gov,1
bethlehem-pa.gov,6
bethlehemwv.gov,4
bettendorf.gov,1
beverlyhills-ca.gov,1
beverlyhillsca.gov,1
beverlyhillstx.gov,7
beverlyma.gov,7
bhtx.gov,6
bigflatsny.gov,4
biggs-ca.gov,7
bigrapidstownshipmi.gov,6
bigsandytx.gov,8
billingsmt.gov,12
binghamton-ny.gov,0
birminghamal911.gov,4
birminghamal.gov,4
biscayneparkfl.gov,2
bismarcknd.gov,4
bixbyok.gov,1
blackbrookwi.gov,4
blackdiamondwa.gov,4
blackriverfallswi.gov,6
blacksburg.gov,6
bladensburgmd.gov,7
blainemn.gov,2
blainetn.gov,1
blairsville-ga.gov,2
blairtownshipmi.gov,2
blanchardla.gov,4
blanchardvillewi.gov,6
blanding-ut.gov,7
blendontownship-mi.gov,6
blissfieldmichigan.gov,4
bloomfieldct.gov,7
bloomfieldnm.gov,7
bloomingdale-ga.gov,4
bloominggrove-ny.gov,6
bloomingtonelectionsil.gov,4
bloomingtonil.gov,4
bloomingtonmn.gov,2
blossomtexas.gov,1
bluehillme.gov,7
bluemoundtexas.gov,7
bluemountain-ms.gov,9
bluffcitytn.gov,2
bluffdale.gov,7
blufftonindiana.gov,4
boazwi.gov,2
boerne-tx.gov,12
boltonct.gov,7
bolton-ma.gov,4
bonneytexas.gov,1
booneiowa.gov,4
booneville-ms.gov,7
borgertx.gov,7
boscawennh.gov,2
boscobelwi.gov,1
bosquefarmsnm.gov,7
boston.gov,2
bothellwa.gov,4
bouldercolorado.gov,4
bountiful.gov,7
bountifulutah.gov,7
bourbon-in.gov,7
boveymn.gov,4
bowdoinmaine.gov,4
bowersde.gov,1
bowlinggreen-mo.gov,2
bowmar.gov,4
bownh.gov,7
bownhpd.gov,4
boxborough-ma.gov,4
boxfordma.gov,4
boyceville.gov,7
boydwi.gov,7
boylston-ma.gov,7
brackettvilletx.gov,7
bradentonfl.gov,4
bradfordwoods.gov,3
bradleybeachnj.gov,7
brahammn.gov,1
braintreema.gov,6
braintreevt.gov,3
branford-ct.gov,4
bransonmo.gov,9
bransonwestmo.gov,2
brattleboro.gov,12
brawley-ca.gov,4
breckenridgetx.gov,2
breezypointmn.gov,2
bremenga.gov,7
bremertonwa.gov,4
brentwoodca.gov,1
brentwoodmd.gov,6
brentwoodnh.gov,7
brentwoodpa.gov,7
brentwoodtn.gov,12
brewermaine.gov,6
brewster-ma.gov,6
brewstervillage-ny.gov,1
briarcliffmanor.gov,4
bricktownship-nj.gov,4
bridgeportct.gov,12
bridgeportwv.gov,6
bridgetonmo.gov,4
bridgeview-il.gov,2
bridgewater-ct.gov,6
bridgewaternj.gov,7
briellenj.gov,7
brightonco.gov,4
brightonvt.gov,1
brileytownshipmi.gov,6
brillionwi.gov,4
brimfieldohio.gov,6
bristolct.gov,1
bristolnh.gov,6
bristolri.gov,2
bristowpoliceok.gov,7
brla.gov,12
broadview-il.gov,3
broadwayva.gov,2
brockwaytwpmn.gov,4
brokenarrowok.gov,4
brokenbowokpd.gov,7
brookfieldct.gov,7
brookfieldil.gov,7
brookfield-wi.gov,6
brookfordnc.gov,3
brookhavenga.gov,1
brookhaven-ms.gov,7
brookhavenny.gov,4
brooklinema.gov,12
brooklinenh.gov,2
brooklyncentermn.gov,2
brooklynohio.gov,4
brooklynwi.gov,4
brookshiretx.gov,7
brookvillepoliceny.gov,4
browndeerwi.gov,4
brownsvilletn.gov,4
brownsvilletx.gov,4
brownsvillewi.gov,6
brownwoodtexas.gov,12
brulewi.gov,7
brunswickmd.gov,2
brunswickohio.gov,3
bryantx.gov,12
brycecanyoncityut.gov,7
brysoncitync.gov,4
buchananga.gov,6
buchanantwpmi.gov,2
buchanan-va.gov,4
buckeyeaz.gov,4
bucksportmaine.gov,9
budatx.gov,6
buenavistaco.gov,7
buffalogaptx.gov,3
buffalony.gov,6
buildingprojectsswanseama.gov,6
bullheadcityaz.gov,4
bulverdetx.gov,2
bunkerhilltx.gov,7
burbankca.gov,4
burbankil.gov,2
burgawnc.gov,4
burienwa.gov,12
burkittsville-md.gov,6
burlingtonkansas.gov,3
burlingtonnc.gov,6
burlingtonvt.gov,4
burlingtonwa.gov,7
burlington-wi.gov,2
burnham-il.gov,6
burnsharbor-in.gov,7
burnsvillemn.gov,4
burr-ridge.gov,8
burtcheboyganmi.gov,7
burtonmi.gov,2
butlerwi.gov,7
byesvilleoh.gov,6
cabotar.gov,9
cabq.gov,4
calaisvermont.gov,7
calcasieu.gov,4
caldwelltx.gov,7
caledoniamn.gov,9
caledonia-wi.gov,2
calhounfalls.gov,1
californiacity-ca.gov,4
californiapa.gov,2
callawaymn.gov,7
calumettwp-in.gov,6
calvertcityky.gov,4
cambridgema.gov,2
cambridgeny.gov,1
cambridgetownshipmi.gov,4
cambridgewi.gov,9
camdenmaine.gov,4
camdennj.gov,4
camdentn.gov,14
cameronwv.gov,2
campbellca.gov,4
campbellohio.gov,7
camptonnh.gov,4
canalwinchesterohio.gov,1
canandaiguanewyork.gov,6
canbymn.gov,6
canbyoregon.gov,4
canfield.gov,9
cannonfallsmn.gov,2
canterburynh.gov,7
cantonga.gov,9
cantonmi.gov,4
cantonmopolice.gov,2
cantonms.gov,4
cantonny.gov,9
cantonohio.gov,7
cantontwp-oh.gov,7
cantontx.gov,6
canyonlakeca.gov,2
canyontx.gov,12
capecanaveral.gov,4
capecoral.gov,2
capitolheightsmd.gov,6
careyohio.gov,7
carlislema.gov,6
carlsbadca.gov,2
carmeltownship-mi.gov,4
carnationwa.gov,7
carpentersvilleil.gov,4
carpinteriaca.gov,1
carrboronc.gov,1
carrollton-ga.gov,3
carrolltontx.gov,4
carsonca.gov,12
carterlake-ia.gov,4
cartersvillega.gov,12
carthagemo.gov,7
carverma.gov,4
carync.gov,4
caryvilletn.gov,4
casagrandeaz.gov,4
casnoviatownshipmi.gov,6
casperwy.gov,7
cassvilletwpwi.gov,2
cassvillevlgwi.gov,2
castaneatownshippa.gov,2
castlehills-tx.gov,6
castlepinesco.gov,4
castrovilletx.gov,7
cathedralcity.gov,4
