url,,url,exchange,preference,class,type
2020census.gov,10474,2020census.gov,mail1.census.gov.,50,IN,MX
22007apply.gov,11643,22007apply.gov,inbound-smtp.us-east-1.amazonaws.com.,10,IN,MX
29palmsbomi-nsn.gov,13505,29palmsbomi-nsn.gov,29palmsbominsn-gov02i.mail.protection.outlook.com.,0,IN,MX
29palmsgaming-nsn.gov,13506,29palmsgaming-nsn.gov,29palmsgamingnsn-gov03c.mail.protection.outlook.com.,0,IN,MX
400yaahc.gov,11316,400yaahc.gov,aspmx.l.google.com.,1,IN,MX
4thjdcar.gov,12299,4thjdcar.gov,4thjdcar-gov.mail.protection.outlook.com.,10,IN,MX
59dcmi.gov,0,59dcmi.gov,59dcmi-gov.mail.protection.outlook.com.,0,IN,MX
9-11commission.gov,11455,9-11commission.gov,us.etp.fireeyegov.com.,10,IN,MX
abbevillecountysc.gov,7903,abbevillecountysc.gov,mx01.abbevillecountysc.gov.,10,IN,MX
aberdeenmd.gov,1,aberdeenmd.gov,d231943a.ess.barracudanetworks.com.,10,IN,MX
aberdeenwa.gov,3,aberdeenwa.gov,aberdeenwa-gov.mail.protection.outlook.com.,0,IN,MX
abilityone.gov,11588,abilityone.gov,abilityone-gov.mail.protection.outlook.com.,0,IN,MX
abingdon-va.gov,4,abingdon-va.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
abingtonma.gov,7,abingtonma.gov,d166440a.ess.barracudanetworks.com.,10,IN,MX
abingtonpa.gov,8,abingtonpa.gov,abingtonpa-gov.mail.protection.outlook.com.,0,IN,MX
abitaspringsla.gov,9,abitaspringsla.gov,d182365a.ess.barracudanetworks.com.,0,IN,MX
abmc.gov,10427,abmc.gov,abmc-gov.mail.protection.outlook.com.,10,IN,MX
abseconnj.gov,11,abseconnj.gov,abseconnj.gov.,10,IN,MX
access-board.gov,11589,access-board.gov,accessboard-gov01e.mail.protection.outlook.com.,0,IN,MX
acf.gov,10663,acf.gov,smtp2.ees.hhs.gov.,10,IN,MX
achp.gov,10422,achp.gov,primary.us.etp.fireeyegov.com.,10,IN,MX
acl.gov,10667,acl.gov,acl.gov.,5,IN,MX
acnj.gov,12,acnj.gov,d253617a.ess.barracudanetworks.com.,0,IN,MX
acnjpolice.gov,15,acnjpolice.gov,d316890a.ess.barracudanetworks.com.,0,IN,MX
acsd-az.gov,11884,acsd-az.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
