url,exchange,preference,class,type
yellowsprings.gov,59dcmi-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,d231943a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d231943b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,aberdeenwa-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
yellowsprings.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
yellowsprings.gov,d166440a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d166440b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,abingtonpa-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,d182365b.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d182365a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,abseconnj.gov.,10,IN,MX
yellowsprings.gov,d253617b.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d253617a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d316890a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d316890b.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,acton-ma.gov.2.0001.arsmtp.com.,20,IN,MX
yellowsprings.gov,acton-ma.gov.1.0001.arsmtp.com.,10,IN,MX
yellowsprings.gov,actonma.gov.2.0001.arsmtp.com.,20,IN,MX
yellowsprings.gov,actonma.gov.1.0001.arsmtp.com.,10,IN,MX
yellowsprings.gov,mgw1.trinsictech.com.,0,IN,MX
yellowsprings.gov,mgw2.trinsictech.com.,10,IN,MX
yellowsprings.gov,adakak-gov01b.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
yellowsprings.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
yellowsprings.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
yellowsprings.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
yellowsprings.gov,alt2.aspmx.l.google.com.,5,IN,MX
yellowsprings.gov,alt1.aspmx.l.google.com.,5,IN,MX
yellowsprings.gov,aspmx.l.google.com.,1,IN,MX
yellowsprings.gov,alt4.aspmx.l.google.com.,10,IN,MX
yellowsprings.gov,alt3.aspmx.l.google.com.,10,IN,MX
yellowsprings.gov,d215745b.ess.barracudanetworks.com.,5,IN,MX
yellowsprings.gov,d215745a.ess.barracudanetworks.com.,1,IN,MX
yellowsprings.gov,smtp.adrianmi.gov.,0,IN,MX
yellowsprings.gov,adriantwpmi-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,aspmx3.googlemail.com.,10,IN,MX
yellowsprings.gov,alt1.aspmx.l.google.com.,5,IN,MX
yellowsprings.gov,aspmx.l.google.com.,0,IN,MX
yellowsprings.gov,aspmx2.googlemail.com.,10,IN,MX
yellowsprings.gov,alt2.aspmx.l.google.com.,5,IN,MX
yellowsprings.gov,aftonwyoming.gov.,25,IN,MX
yellowsprings.gov,ahoskienc-gov.mail.protection.outlook.com.,10,IN,MX
yellowsprings.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
yellowsprings.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
yellowsprings.gov,d312424a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d312424b.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,alamotownshipmi.gov.,0,IN,MX
yellowsprings.gov,mail.albanyga.gov.,15,IN,MX
yellowsprings.gov,d108516b.ess.barracudanetworks.com.,5,IN,MX
yellowsprings.gov,d108516a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,albanyny-gov.mail.protection.outlook.com.,10,IN,MX
yellowsprings.gov,smtp2.cityofalbany.net.,55,IN,MX
yellowsprings.gov,d289294b.ess.barracudanetworks.com.,4,IN,MX
yellowsprings.gov,d289294a.ess.barracudanetworks.com.,4,IN,MX
yellowsprings.gov,d186112b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,d186112a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,mail.i2k.com.,0,IN,MX
yellowsprings.gov,albertvillemn.gov.mx4.iphouse.rcimx.net.,40,IN,MX
yellowsprings.gov,albertvillemn.gov.mx3.iphouse.rcimx.net.,30,IN,MX
yellowsprings.gov,albertvillemn.gov.mx2.iphouse.rcimx.net.,20,IN,MX
yellowsprings.gov,albertvillemn.gov.mx1.iphouse.rcimx.net.,10,IN,MX
yellowsprings.gov,correo.cabq.gov.,10,IN,MX
yellowsprings.gov,cartero.cabq.gov.,10,IN,MX
yellowsprings.gov,d271483a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d271483b.ess.barracudanetworks.com.,25,IN,MX
yellowsprings.gov,aledotx-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,mail.aleknagikak.gov.,10,IN,MX
yellowsprings.gov,d170372b.ess.barracudanetworks.com.,1,IN,MX
yellowsprings.gov,alexandercityal-gov.mail.eo.outlook.com.,30,IN,MX
yellowsprings.gov,alexandercityal-gov.mail.protection.outlook.com.,20,IN,MX
yellowsprings.gov,d170372a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d312765a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d312765b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,alexandriava-gov.mail.protection.outlook.com.,3,IN,MX
yellowsprings.gov,cloud12.spamtitan.com.,20,IN,MX
yellowsprings.gov,cloud11.spamtitan.com.,10,IN,MX
yellowsprings.gov,algonaiowa-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,mail.algonawa.gov.,10,IN,MX
yellowsprings.gov,algoodtn-gov.mail.eo.outlook.com.,0,IN,MX
yellowsprings.gov,aliquippapa-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,cloud5.spamtitan.com.,10,IN,MX
yellowsprings.gov,cloud6.spamtitan.com.,10,IN,MX
yellowsprings.gov,allenstownnh-gov.mail.protection.outlook.com.,10,IN,MX
yellowsprings.gov,allentownpa-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,allianceoh-gov.mail.eo.outlook.com.,10,IN,MX
yellowsprings.gov,in-mig04.hes.trendmicro.com.,10,IN,MX
yellowsprings.gov,mx3-hosting.jellyfish.systems.,20,IN,MX
yellowsprings.gov,mx2-hosting.jellyfish.systems.,10,IN,MX
yellowsprings.gov,mx1-hosting.jellyfish.systems.,5,IN,MX
yellowsprings.gov,mail.almenatownship.gov.,0,IN,MX
yellowsprings.gov,mailstore1.secureserver.net.,10,IN,MX
yellowsprings.gov,alpinewy-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,alsteadnh-gov.mail.protection.outlook.com.,10,IN,MX
yellowsprings.gov,altavistava-gov.mail.protection.outlook.com.,50,IN,MX
yellowsprings.gov,d129127a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d129127b.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,mx3.zoho.com.,50,IN,MX
yellowsprings.gov,mx.zoho.com.,10,IN,MX
yellowsprings.gov,mx2.zoho.com.,20,IN,MX
yellowsprings.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
yellowsprings.gov,ALT4.ASPMX.L.GOOGLE.COM.,10,IN,MX
yellowsprings.gov,ALT1.ASPMX.L.GOOGLE.COM.,5,IN,MX
yellowsprings.gov,ALT2.ASPMX.L.GOOGLE.COM.,5,IN,MX
yellowsprings.gov,ALT3.ASPMX.L.GOOGLE.COM.,10,IN,MX
yellowsprings.gov,d270992a.ess.barracudanetworks.com.,0,IN,MX
yellowsprings.gov,d270992b.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
yellowsprings.gov,mx2-us1.ppe-hosted.com.,20,IN,MX
yellowsprings.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
yellowsprings.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
yellowsprings.gov,d306397a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,americanfork-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,d148570a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,d148570b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,amerywi-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,amesburyma-gov.mail.protection.outlook.com.,1,IN,MX
yellowsprings.gov,mail.global.frontbridge.com.,20,IN,MX
yellowsprings.gov,amherstma-gov.mail.protection.outlook.com.,10,IN,MX
yellowsprings.gov,amherstnh-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,amherstva-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,amityvillepdny-gov.mail.protection.outlook.com.,0,IN,MX
yellowsprings.gov,amsterdamny-gov.mx1.arsmtp.com.,10,IN,MX
yellowsprings.gov,amsterdamny-gov.mx2.arsmtp.com.,20,IN,MX
yellowsprings.gov,mxa-0000f701.gslb.pphosted.com.,10,IN,MX
yellowsprings.gov,mxb-0000f701.gslb.pphosted.com.,20,IN,MX
yellowsprings.gov,d189157b.ess.barracudanetworks.com.,20,IN,MX
yellowsprings.gov,d189157a.ess.barracudanetworks.com.,10,IN,MX
yellowsprings.gov,aspmx2.googlemail.com.,10,IN,MX
yellowsprings.gov,aspmx3.googlemail.com.,10,IN,MX
yellowsprings.gov,alt1.aspmx.l.google.com.,5,IN,MX
yellowsprings.gov,aspmx.l.google.com.,1,IN,MX
yellowsprings.gov,alt2.aspmx.l.google.com.,5,IN,MX
