queried,exchange,preference,class,type
59dcmi.gov,59dcmi-gov.mail.protection.outlook.com.,0,IN,MX
aberdeenmd.gov,d231943a.ess.barracudanetworks.com.,10,IN,MX
aberdeenmd.gov,d231943b.ess.barracudanetworks.com.,20,IN,MX
aberdeenwa.gov,aberdeenwa-gov.mail.protection.outlook.com.,0,IN,MX
abingdon-va.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
abingdon-va.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
abingtonma.gov,d166440b.ess.barracudanetworks.com.,20,IN,MX
abingtonma.gov,d166440a.ess.barracudanetworks.com.,10,IN,MX
abingtonpa.gov,abingtonpa-gov.mail.protection.outlook.com.,0,IN,MX
abitaspringsla.gov,d182365b.ess.barracudanetworks.com.,10,IN,MX
abitaspringsla.gov,d182365a.ess.barracudanetworks.com.,0,IN,MX
abseconnj.gov,abseconnj.gov.,10,IN,MX
acnj.gov,d253617a.ess.barracudanetworks.com.,0,IN,MX
acnj.gov,d253617b.ess.barracudanetworks.com.,10,IN,MX
acnjpolice.gov,d316890a.ess.barracudanetworks.com.,0,IN,MX
acnjpolice.gov,d316890b.ess.barracudanetworks.com.,10,IN,MX
acton-ma.gov,acton-ma.gov.1.0001.arsmtp.com.,10,IN,MX
acton-ma.gov,acton-ma.gov.2.0001.arsmtp.com.,20,IN,MX
actonma.gov,actonma.gov.2.0001.arsmtp.com.,20,IN,MX
actonma.gov,actonma.gov.1.0001.arsmtp.com.,10,IN,MX
acworth-ga.gov,mgw2.trinsictech.com.,10,IN,MX
acworth-ga.gov,mgw1.trinsictech.com.,0,IN,MX
adak-ak.gov,adakak-gov01b.mail.protection.outlook.com.,0,IN,MX
adamn.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
adamn.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
addisontx.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
addisontx.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
addisonwi.gov,alt2.aspmx.l.google.com.,5,IN,MX
addisonwi.gov,alt1.aspmx.l.google.com.,5,IN,MX
addisonwi.gov,aspmx.l.google.com.,1,IN,MX
addisonwi.gov,alt4.aspmx.l.google.com.,10,IN,MX
addisonwi.gov,alt3.aspmx.l.google.com.,10,IN,MX
adelantoca.gov,d215745b.ess.barracudanetworks.com.,5,IN,MX
