url,ipv4
59dcmi-gov.mail.protection.outlook.com.,52.101.9.17
59dcmi-gov.mail.protection.outlook.com.,52.101.40.0
59dcmi-gov.mail.protection.outlook.com.,52.101.42.9
59dcmi-gov.mail.protection.outlook.com.,52.101.10.8
59dcmi-gov.mail.protection.outlook.com.,52.101.40.1
59dcmi-gov.mail.protection.outlook.com.,52.101.10.6
59dcmi-gov.mail.protection.outlook.com.,52.101.41.3
d231943a.ess.barracudanetworks.com.,209.222.82.253
d231943a.ess.barracudanetworks.com.,209.222.82.255
d231943a.ess.barracudanetworks.com.,209.222.82.252
d231943b.ess.barracudanetworks.com.,209.222.82.253
d231943b.ess.barracudanetworks.com.,209.222.82.252
d231943b.ess.barracudanetworks.com.,209.222.82.255
aberdeenwa-gov.mail.protection.outlook.com.,52.101.9.19
aberdeenwa-gov.mail.protection.outlook.com.,52.101.11.12
aberdeenwa-gov.mail.protection.outlook.com.,52.101.8.50
aberdeenwa-gov.mail.protection.outlook.com.,52.101.8.52
us-smtp-inbound-1.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,207.211.30.141
us-smtp-inbound-1.mimecast.com.,205.139.110.221
us-smtp-inbound-1.mimecast.com.,207.211.30.221
us-smtp-inbound-1.mimecast.com.,205.139.110.141
us-smtp-inbound-1.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,205.139.110.221
us-smtp-inbound-2.mimecast.com.,207.211.30.221
us-smtp-inbound-2.mimecast.com.,205.139.110.141
us-smtp-inbound-2.mimecast.com.,207.211.30.141
us-smtp-inbound-2.mimecast.com.,205.139.110.242
d166440b.ess.barracudanetworks.com.,209.222.82.252
d166440b.ess.barracudanetworks.com.,209.222.82.253
d166440b.ess.barracudanetworks.com.,209.222.82.255
d166440a.ess.barracudanetworks.com.,209.222.82.252
d166440a.ess.barracudanetworks.com.,209.222.82.255
d166440a.ess.barracudanetworks.com.,209.222.82.253
abingtonpa-gov.mail.protection.outlook.com.,52.101.41.3
abingtonpa-gov.mail.protection.outlook.com.,52.101.41.4
abingtonpa-gov.mail.protection.outlook.com.,52.101.11.7
abingtonpa-gov.mail.protection.outlook.com.,52.101.194.3
abingtonpa-gov.mail.protection.outlook.com.,52.101.9.17
abingtonpa-gov.mail.protection.outlook.com.,52.101.9.11
abingtonpa-gov.mail.protection.outlook.com.,52.101.40.2
d182365a.ess.barracudanetworks.com.,209.222.82.253
d182365a.ess.barracudanetworks.com.,209.222.82.252
d182365a.ess.barracudanetworks.com.,209.222.82.255
d182365b.ess.barracudanetworks.com.,209.222.82.255
d182365b.ess.barracudanetworks.com.,209.222.82.252
d182365b.ess.barracudanetworks.com.,209.222.82.253
abseconnj.gov.,129.121.17.246
d253617a.ess.barracudanetworks.com.,209.222.82.252
d253617a.ess.barracudanetworks.com.,209.222.82.253
d253617a.ess.barracudanetworks.com.,209.222.82.255
d253617b.ess.barracudanetworks.com.,209.222.82.253
d253617b.ess.barracudanetworks.com.,209.222.82.252
d253617b.ess.barracudanetworks.com.,209.222.82.255
d316890b.ess.barracudanetworks.com.,209.222.82.255
d316890b.ess.barracudanetworks.com.,209.222.82.253
d316890b.ess.barracudanetworks.com.,209.222.82.252
d316890a.ess.barracudanetworks.com.,209.222.82.252
d316890a.ess.barracudanetworks.com.,209.222.82.253
d316890a.ess.barracudanetworks.com.,209.222.82.255
acton-ma.gov.1.0001.arsmtp.com.,8.31.233.246
acton-ma.gov.2.0001.arsmtp.com.,8.19.118.227
actonma.gov.2.0001.arsmtp.com.,8.19.118.227
actonma.gov.1.0001.arsmtp.com.,8.31.233.246
mgw2.trinsictech.com.,38.97.16.210
mgw1.trinsictech.com.,38.97.16.210
adakak-gov01b.mail.protection.outlook.com.,52.101.11.12
adakak-gov01b.mail.protection.outlook.com.,52.101.8.50
adakak-gov01b.mail.protection.outlook.com.,52.101.8.52
adakak-gov01b.mail.protection.outlook.com.,52.101.9.19
mx2-us1.ppe-hosted.com.,148.163.129.51
mx2-us1.ppe-hosted.com.,67.231.154.163
mx1-us1.ppe-hosted.com.,67.231.154.162
mx1-us1.ppe-hosted.com.,148.163.129.50
us-smtp-inbound-1.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,207.211.30.141
us-smtp-inbound-1.mimecast.com.,205.139.110.221
us-smtp-inbound-1.mimecast.com.,207.211.30.221
us-smtp-inbound-1.mimecast.com.,205.139.110.141
us-smtp-inbound-1.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,205.139.110.221
us-smtp-inbound-2.mimecast.com.,207.211.30.221
us-smtp-inbound-2.mimecast.com.,205.139.110.141
us-smtp-inbound-2.mimecast.com.,207.211.30.141
us-smtp-inbound-2.mimecast.com.,205.139.110.242
alt1.aspmx.l.google.com.,108.177.12.27
aspmx.l.google.com.,142.251.177.26
alt4.aspmx.l.google.com.,209.85.202.26
alt3.aspmx.l.google.com.,64.233.186.26
alt2.aspmx.l.google.com.,172.253.62.27
d215745a.ess.barracudanetworks.com.,209.222.82.253
d215745a.ess.barracudanetworks.com.,209.222.82.255
d215745a.ess.barracudanetworks.com.,209.222.82.252
d215745b.ess.barracudanetworks.com.,209.222.82.253
d215745b.ess.barracudanetworks.com.,209.222.82.255
d215745b.ess.barracudanetworks.com.,209.222.82.252
smtp.adrianmi.gov.,97.107.82.52
adriantwpmi-gov.mail.protection.outlook.com.,52.101.9.19
adriantwpmi-gov.mail.protection.outlook.com.,52.101.8.52
adriantwpmi-gov.mail.protection.outlook.com.,52.101.11.12
adriantwpmi-gov.mail.protection.outlook.com.,52.101.8.50
aspmx.l.google.com.,142.251.177.26
alt1.aspmx.l.google.com.,108.177.12.27
aftonwyoming.gov.,75.2.21.72
aspmx3.googlemail.com.,172.253.62.27
aspmx2.googlemail.com.,108.177.12.26
alt2.aspmx.l.google.com.,172.253.62.27
ahoskienc-gov.mail.protection.outlook.com.,104.47.66.10
ahoskienc-gov.mail.protection.outlook.com.,104.47.59.138
us-smtp-inbound-2.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,205.139.110.221
us-smtp-inbound-2.mimecast.com.,207.211.30.221
us-smtp-inbound-2.mimecast.com.,205.139.110.141
us-smtp-inbound-2.mimecast.com.,207.211.30.141
us-smtp-inbound-2.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,207.211.30.141
us-smtp-inbound-1.mimecast.com.,205.139.110.221
us-smtp-inbound-1.mimecast.com.,207.211.30.221
us-smtp-inbound-1.mimecast.com.,205.139.110.141
us-smtp-inbound-1.mimecast.com.,207.211.30.242
d312424b.ess.barracudanetworks.com.,209.222.82.255
d312424b.ess.barracudanetworks.com.,209.222.82.252
d312424b.ess.barracudanetworks.com.,209.222.82.253
d312424a.ess.barracudanetworks.com.,209.222.82.253
d312424a.ess.barracudanetworks.com.,209.222.82.255
d312424a.ess.barracudanetworks.com.,209.222.82.252
alamotownshipmi.gov.,50.28.9.200
d108516b.ess.barracudanetworks.com.,209.222.82.255
d108516b.ess.barracudanetworks.com.,209.222.82.253
d108516b.ess.barracudanetworks.com.,209.222.82.252
d108516a.ess.barracudanetworks.com.,209.222.82.253
d108516a.ess.barracudanetworks.com.,209.222.82.252
d108516a.ess.barracudanetworks.com.,209.222.82.255
mail.albanyga.gov.,66.110.195.44
albanyny-gov.mail.protection.outlook.com.,52.101.11.12
albanyny-gov.mail.protection.outlook.com.,52.101.8.50
albanyny-gov.mail.protection.outlook.com.,52.101.8.52
albanyny-gov.mail.protection.outlook.com.,52.101.9.19
d289294a.ess.barracudanetworks.com.,209.222.82.252
d289294a.ess.barracudanetworks.com.,209.222.82.255
d289294a.ess.barracudanetworks.com.,209.222.82.253
d289294b.ess.barracudanetworks.com.,209.222.82.255
d289294b.ess.barracudanetworks.com.,209.222.82.252
d289294b.ess.barracudanetworks.com.,209.222.82.253
smtp2.cityofalbany.net.,69.1.99.45
