url,exchange,preference,class,type
2020census.gov,mail1.census.gov.,50,IN,MX
22007apply.gov,inbound-smtp.us-east-1.amazonaws.com.,10,IN,MX
29palmsbomi-nsn.gov,29palmsbominsn-gov02i.mail.protection.outlook.com.,0,IN,MX
29palmsgaming-nsn.gov,29palmsgamingnsn-gov03c.mail.protection.outlook.com.,0,IN,MX
400yaahc.gov,aspmx.l.google.com.,1,IN,MX
4thjdcar.gov,4thjdcar-gov.mail.protection.outlook.com.,10,IN,MX
59dcmi.gov,59dcmi-gov.mail.protection.outlook.com.,0,IN,MX
9-11commission.gov,us.etp.fireeyegov.com.,10,IN,MX
abbevillecountysc.gov,mx01.abbevillecountysc.gov.,10,IN,MX
aberdeenmd.gov,d231943a.ess.barracudanetworks.com.,10,IN,MX
aberdeenwa.gov,aberdeenwa-gov.mail.protection.outlook.com.,0,IN,MX
abilityone.gov,abilityone-gov.mail.protection.outlook.com.,0,IN,MX
abingdon-va.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
abingtonma.gov,d166440a.ess.barracudanetworks.com.,10,IN,MX
abingtonpa.gov,abingtonpa-gov.mail.protection.outlook.com.,0,IN,MX
abitaspringsla.gov,d182365a.ess.barracudanetworks.com.,0,IN,MX
abmc.gov,abmc-gov.mail.protection.outlook.com.,10,IN,MX
abseconnj.gov,abseconnj.gov.,10,IN,MX
access-board.gov,accessboard-gov01e.mail.protection.outlook.com.,0,IN,MX
acf.gov,smtp2.ees.hhs.gov.,10,IN,MX
achp.gov,primary.us.etp.fireeyegov.com.,10,IN,MX
acl.gov,acl.gov.,5,IN,MX
acnj.gov,d253617a.ess.barracudanetworks.com.,0,IN,MX
acnjpolice.gov,d316890a.ess.barracudanetworks.com.,0,IN,MX
acsd-az.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
acton-ma.gov,acton-ma.gov.1.0001.arsmtp.com.,10,IN,MX
actonma.gov,actonma.gov.1.0001.arsmtp.com.,10,IN,MX
actransit.gov,us-smtp-inbound-1.mimecast.com.,0,IN,MX
acus.gov,acus-gov.mail.protection.outlook.com.,5,IN,MX
acworth-ga.gov,mgw1.trinsictech.com.,0,IN,MX
adaircomo.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
adaircosomo.gov,d317435a.ess.barracudanetworks.com.,10,IN,MX
adak-ak.gov,adakak-gov01b.mail.protection.outlook.com.,0,IN,MX
adamn.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
adamscountyco.gov,adamscountyco-gov.mail.protection.outlook.com.,0,IN,MX
adamscountyemsoh.gov,adamscountyemsoh.gov.,0,IN,MX
adamscountyil.gov,d313368a.ess.barracudanetworks.com.,10,IN,MX
adamscountyms.gov,mx.zoho.com.,10,IN,MX
adamscountyne.gov,cloud16.spamtitan.com.,0,IN,MX
adamscountyoh.gov,adamscountyoh-gov.mail.protection.outlook.com.,10,IN,MX
adamscountypa.gov,mx1.hc5110-98.iphmx.com.,8,IN,MX
addisontx.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
addisonwi.gov,aspmx.l.google.com.,1,IN,MX
adelantoca.gov,d215745a.ess.barracudanetworks.com.,1,IN,MX
adf.gov,adf-gov.mail.protection.outlook.com.,0,IN,MX
adlnet.gov,adlnet-gov.mail.protection.outlook.com.,0,IN,MX
adrianmi.gov,smtp.adrianmi.gov.,0,IN,MX
adriantwpmi.gov,adriantwpmi-gov.mail.protection.outlook.com.,0,IN,MX
afrh.gov,afrh-gov.mail.protection.outlook.com.,0,IN,MX
africanamericanhistorymonth.gov,pps2b.loc.gov.,5,IN,MX
aftac.gov,sxht-esa-001u.aftac.gov.,5,IN,MX
aftonwyoming.gov,aspmx.l.google.com.,0,IN,MX
aguacaliente-nsn.gov,aguacalientensn-gov03b.mail.protection.outlook.com.,0,IN,MX
agutah.gov,agutah-gov.mail.protection.outlook.com.,0,IN,MX
aha-nsn.gov,mx.mailanyone.net.,0,IN,MX
ahcpr.gov,smtp2.ees.hhs.gov.,10,IN,MX
ahidta.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
ahoskienc.gov,ahoskienc-gov.mail.protection.outlook.com.,10,IN,MX
ahrq.gov,primary.us.etp.fireeyegov.com.,10,IN,MX
aids.gov,smtp2.ees.hhs.gov.,10,IN,MX
aikencountysc.gov,d215592a.ess.barracudanetworks.com.,5,IN,MX
aitkincountymn.gov,aitkincountymn-gov.mail.protection.outlook.com.,0,IN,MX
ak-chin-nsn.gov,ak-chin.nsn.us.inbound15.mxlogic.net.,10,IN,MX
akaerospace.gov,akaerospacegov.mail.protection.office365.us.,0,IN,MX
akcourts.gov,mxb-002fc902.gslb.pphosted.com.,10,IN,MX
akiakira-nsn.gov,akiakiransn-gov02b.mail.protection.outlook.com.,0,IN,MX
al-legislature.gov,allegislature-gov0e.mail.protection.outlook.com.,0,IN,MX
alabama.gov,mxb-00031101.gslb.pphosted.com.,10,IN,MX
alabamaag.gov,AlabamaAG-gov.mail.protection.outlook.com.,10,IN,MX
alabamaageline.gov,319114a7fa554cab5c2d6f88720fdc.pamx1.hotmail.com.,10,IN,MX
alabamada.gov,mxb-00031101.gslb.pphosted.com.,10,IN,MX
alabamapublichealth.gov,mail3filter.infoquest.com.,10,IN,MX
alabamasoilandwater.gov,mail.alabamasoilandwater.gov.,0,IN,MX
alabcboard.gov,mxa-00031101.gslb.pphosted.com.,10,IN,MX
alachuacounty.gov,mxb-00231901.gslb.pphosted.com.,5,IN,MX
alacop.gov,smtp.alacop.gov.,10,IN,MX
alacourt.gov,alacourt-gov.mail.protection.outlook.com.,0,IN,MX
alamancecountync.gov,usb-smtp-inbound-1.mimecast.com.,10,IN,MX
alamedaca.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
alamoheightstx.gov,d312424b.ess.barracudanetworks.com.,0,IN,MX
alamotownshipmi.gov,alamotownshipmi.gov.,0,IN,MX
alappeals.gov,alappeals-gov.mail.protection.outlook.com.,0,IN,MX
alaska.gov,alaska-gov.mail.protection.outlook.com.,0,IN,MX
albanycountyny.gov,d136890a.ess.barracudanetworks.com.,0,IN,MX
albanycountywy.gov,d310376a.ess.barracudanetworks.com.,10,IN,MX
albanyga.gov,d108516b.ess.barracudanetworks.com.,5,IN,MX
albanyny.gov,albanyny-gov.mail.protection.outlook.com.,10,IN,MX
albanyoregon.gov,d289294a.ess.barracudanetworks.com.,4,IN,MX
albemarlenc.gov,d186112a.ess.barracudanetworks.com.,10,IN,MX
alberttwpmi.gov,mail.i2k.com.,0,IN,MX
albertvillemn.gov,albertvillemn.gov.mx1.iphouse.rcimx.net.,10,IN,MX
albme.gov,albme-gov.mail.protection.outlook.com.,0,IN,MX
albuquerque-nm.gov,correo.cabq.gov.,10,IN,MX
alconservationdistricts.gov,_dc-mx.ba163495ea6e.alconservationdistricts.gov.,0,IN,MX
alcorncountyms.gov,alcorncountyms-gov.mail.protection.outlook.com.,0,IN,MX
alea.gov,alea-gov.mail.protection.outlook.com.,0,IN,MX
aledoil.gov,d271483a.ess.barracudanetworks.com.,10,IN,MX
aledotx.gov,aledotx-gov.mail.protection.outlook.com.,0,IN,MX
aleknagikak.gov,mail.aleknagikak.gov.,10,IN,MX
alexaminers.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
alexandercityal.gov,d170372a.ess.barracudanetworks.com.,0,IN,MX
alexandercounty-nc.gov,www.alexandercounty-nc.gov.,10,IN,MX
alexandercountync.gov,mx1.hc5715-1.iphmx.com.,10,IN,MX
alexandrianj.gov,d312765a.ess.barracudanetworks.com.,10,IN,MX
alexandriava.gov,alexandriava-gov.mail.protection.outlook.com.,3,IN,MX
alfredme.gov,cloud11.spamtitan.com.,10,IN,MX
algercounty.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
algonaiowa.gov,algonaiowa-gov.mail.protection.outlook.com.,0,IN,MX
algonawa.gov,mail.algonawa.gov.,10,IN,MX
algoodtn.gov,algoodtn-gov.mail.eo.outlook.com.,0,IN,MX
alhouse.gov,alhouse-gov.mail.protection.outlook.com.,0,IN,MX
aliquippapa.gov,aliquippapa-gov.mail.protection.outlook.com.,0,IN,MX
alleganyco.gov,mail.alleganyco.gov.,0,IN,MX
alleghanycounty-nc.gov,alleghanycountync-gov03i.mail.protection.outlook.com.,0,IN,MX
allendalecounty.gov,allendalecounty-gov.mail.protection.outlook.com.,0,IN,MX
allendalenj.gov,cloud6.spamtitan.com.,10,IN,MX
allenstownnh.gov,allenstownnh-gov.mail.protection.outlook.com.,10,IN,MX
allentownpa.gov,allentownpa-gov.mail.protection.outlook.com.,0,IN,MX
allianceoh.gov,allianceoh-gov.mail.eo.outlook.com.,10,IN,MX
almaarkansas.gov,in-mig04.hes.trendmicro.com.,10,IN,MX
almacenterwi.gov,mx1-hosting.jellyfish.systems.,5,IN,MX
almenatownship.gov,mail.almenatownship.gov.,0,IN,MX
almlc.gov,almlc-gov.mail.protection.outlook.com.,0,IN,MX
alpinecountyca.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
alpinewy.gov,alpinewy-gov.mail.protection.outlook.com.,0,IN,MX
alsar.gov,aspmx.l.google.com.,1,IN,MX
alsenate.gov,alsenate-gov.mail.protection.outlook.com.,10,IN,MX
alsteadnh.gov,alsteadnh-gov.mail.protection.outlook.com.,10,IN,MX
altavistava.gov,d129127a.ess.barracudanetworks.com.,0,IN,MX
alton-tx.gov,mx.zoho.com.,10,IN,MX
altoona-wi.gov,d270992a.ess.barracudanetworks.com.,0,IN,MX
altoonapa.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
altusandc.gov,mnsa-esa-001azu.altusandc.gov.,5,IN,MX
altusok.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
alzheimers.gov,nihcesxwayst06.hub.nih.gov.,10,IN,MX
amarillo.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
ameniany.gov,d306397a.ess.barracudanetworks.com.,10,IN,MX
america.gov,aspmx.l.google.com.,1,IN,MX
america250.gov,aspmx.l.google.com.,1,IN,MX
americanfork.gov,americanfork-gov.mail.protection.outlook.com.,0,IN,MX
americansamoa.gov,americansamoa.gov.,1,IN,MX
americorps.gov,americorps-gov.mail.protection.outlook.com.,10,IN,MX
americorpsoig.gov,americorpsoig-gov.mail.protection.outlook.com.,0,IN,MX
americusga.gov,d148570a.ess.barracudanetworks.com.,10,IN,MX
amerywi.gov,amerywi-gov.mail.protection.outlook.com.,0,IN,MX
amesburyma.gov,amesburyma-gov.mail.protection.outlook.com.,1,IN,MX
ameslab.gov,aspmx.l.google.com.,1,IN,MX
amherstma.gov,amherstma-gov.mail.protection.outlook.com.,10,IN,MX
amherstnh.gov,amherstnh-gov.mail.protection.outlook.com.,0,IN,MX
amherstva.gov,amherstva-gov.mail.protection.outlook.com.,0,IN,MX
amitecountyms.gov,mx-01.eapps.com.,10,IN,MX
amityvillepdny.gov,amityvillepdny-gov.mail.protection.outlook.com.,0,IN,MX
amsterdamny.gov,amsterdamny-gov.mx1.arsmtp.com.,10,IN,MX
amtrakoig.gov,amtrakoig-gov.mail.protection.outlook.com.,0,IN,MX
anacorteswa.gov,d317506a.ess.barracudanetworks.com.,10,IN,MX
anchorageak.gov,mxa-0000f701.gslb.pphosted.com.,10,IN,MX
andalusiaal.gov,d189157a.ess.barracudanetworks.com.,10,IN,MX
andersoncountysc.gov,andersoncountysc-gov.mail.protection.outlook.com.,0,IN,MX
andersoncountytn.gov,andersoncountytn-gov.mail.protection.outlook.com.,0,IN,MX
andersontownshipoh.gov,andersontownshipoh-gov.mail.protection.outlook.com.,0,IN,MX
andersontx.gov,aspmx.l.google.com.,1,IN,MX
andover-nh.gov,andovernh-gov01i.mail.protection.outlook.com.,0,IN,MX
andoverma.gov,usb-smtp-inbound-2.mimecast.com.,10,IN,MX
andovermn.gov,d120888a.ess.barracudanetworks.com.,10,IN,MX
andrewcountymo.gov,andrewcountymo-gov.mail.protection.outlook.com.,0,IN,MX
andrewsnc.gov,andrewsnc-gov.mail.protection.outlook.com.,0,IN,MX
androscoggincountyema.gov,mail.androscoggincountyema.gov.,0,IN,MX
androscoggincountymaine.gov,androscoggincountymaine-gov.mail.protection.outlook.com.,0,IN,MX
angelfirenm.gov,mx1-us.emailsecurity.app.,10,IN,MX
angelscamp.gov,d277736a.ess.barracudanetworks.com.,10,IN,MX
ankenyiowa.gov,mx1-us1.ppe-hosted.com.,1,IN,MX
anl.gov,mailgateway-bak.anl.gov.,10,IN,MX
annapolis.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
annatexas.gov,mx-cluster-usa01.hornetsecurity.com.,10,IN,MX
annettatx.gov,mx1.emailsrvr.com.,10,IN,MX
annistonal.gov,annistonal-gov.mail.protection.outlook.com.,0,IN,MX
anokacountymn.gov,cust17072-1.in.mailcontrol.com.,10,IN,MX
ansoncountync.gov,ansoncountync-gov.mail.protection.outlook.com.,0,IN,MX
antiochca.gov,d185714a.ess.barracudanetworks.com.,98,IN,MX
antiochcaboard.gov,d222948a.ess.barracudanetworks.com.,10,IN,MX
antiochcacommission.gov,d222947b.ess.barracudanetworks.com.,10,IN,MX
antiochcacommittee.gov,d222946b.ess.barracudanetworks.com.,10,IN,MX
antiochtownshipil.gov,west.smtp.mx.exch091.serverdata.net.,10,IN,MX
antrimcountymi.gov,d316893a.ess.barracudanetworks.com.,10,IN,MX
antrimnh.gov,antrimnh-gov.mail.protection.outlook.com.,0,IN,MX
aoa.gov,smtp2.ees.hhs.gov.,10,IN,MX
aoc.gov,mx04.aoc.gov.,5,IN,MX
apachecountyaz.gov,apachecountyaz-gov.mail.protection.outlook.com.,0,IN,MX
apachejunctionaz.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
apcdca.gov,cctea.org.1.0001.arsmtp.com.,10,IN,MX
apexnc.gov,apexnc-gov.mail.protection.outlook.com.,0,IN,MX
appletonmn.gov,smtp1-mke.securence.com.,0,IN,MX
appletonwi.gov,d293026a.ess.barracudanetworks.com.,10,IN,MX
applevalleyca.gov,d225007a.ess.barracudanetworks.com.,0,IN,MX
applevalleymn.gov,mailf1.applevalleymn.gov.,20,IN,MX
applevalleyut.gov,alt1.aspmx.l.google.com.,5,IN,MX
appomattoxcountyva.gov,appomattoxcountyva-gov.mail.protection.outlook.com.,10,IN,MX
appomattoxva.gov,appomattoxva-gov.mail.protection.outlook.com.,10,IN,MX
apprenticeship.gov,sil-mta-dmz-02-pub.dol.gov.,50,IN,MX
aptx.gov,aspmx.l.google.com.,10,IN,MX
aqmd.gov,mxb-007ef401.gslb.pphosted.com.,10,IN,MX
aquinnah-ma.gov,mx.spamexperts.com.,10,IN,MX
ar.gov,mail2.dis.arkansas.gov.,10,IN,MX
aransascountytx.gov,mail.aransascounty.org.,0,IN,MX
aransaspasstx.gov,aspmx.l.google.com.,10,IN,MX
arapahoeco.gov,arapahoeco-gov.mail.protection.outlook.com.,0,IN,MX
arc.gov,arc-gov.mail.protection.outlook.com.,0,IN,MX
arcadami.gov,arcadami.gov.,0,IN,MX
arcadia-fl.gov,mx2-us1.ppe-hosted.com.,0,IN,MX
arcadiaca.gov,d166201a.ess.barracudanetworks.com.,0,IN,MX
archbaldboroughpa.gov,cuda1.crossvalley.com.,10,IN,MX
archdale-nc.gov,archdalenc-gov02b.mail.protection.outlook.com.,0,IN,MX
archerlodgenc.gov,archerlodgenc-gov.mail.protection.outlook.com.,0,IN,MX
archives.gov,us.etp.fireeyegov.com.,10,IN,MX
arcoidaho.gov,arcoidaho-gov.mail.protection.outlook.com.,0,IN,MX
arcolapdtx.gov,arcolapdtx-gov.mail.protection.outlook.com.,10,IN,MX
arcolatexas.gov,arcolatexas-gov.mail.protection.outlook.com.,0,IN,MX
arcourts.gov,arcourts-gov.mail.protection.outlook.com.,0,IN,MX
arcourts1st.gov,arcourts1st-gov.mail.protection.outlook.com.,0,IN,MX
arcourts6th.gov,arcourts6th-gov.mail.protection.outlook.com.,0,IN,MX
arctic.gov,aspmx.l.google.com.,1,IN,MX
arcticvillage.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
ardmoreok.gov,ardmoreok-gov.mail.protection.outlook.com.,0,IN,MX
ardot.gov,mx1.hc5209-46.iphmx.com.,10,IN,MX
arenaccountymi.gov,gw3058.fortimail.com.,5,IN,MX
arizona.gov,aspmx.l.google.com.,1,IN,MX
arkadelphia.gov,mail.cjissolutions.com.,0,IN,MX
arkansas.gov,arkansas-gov.mail.protection.outlook.com.,10,IN,MX
arkansasag.gov,arkansasag-gov.mail.protection.outlook.com.,10,IN,MX
arkansascityks.gov,arkansascityks-gov.mail.protection.outlook.com.,0,IN,MX
arklegaudit.gov,mail.arklegaudit.gov.,1,IN,MX
arlingtoncountyva.gov,arlingtoncountyva-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonma.gov,d241978a.ess.barracudanetworks.com.,5,IN,MX
arlingtonmn.gov,arlingtonmn-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonne.gov,arlingtonne-gov.mail.protection.outlook.com.,0,IN,MX
arlingtontx.gov,mxb-003aba01.gslb.pphosted.com.,10,IN,MX
arlingtonva.gov,arlingtonva-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonwa.gov,d138933a.ess.barracudanetworks.com.,0,IN,MX
arm.gov,mxb-00689501.gslb.gpphosted.com.,10,IN,MX
arpa-h.gov,nihcesxway4.hub.nih.gov.,10,IN,MX
arpah.gov,nihcesxwayst06.hub.nih.gov.,10,IN,MX
ars-grin.gov,usda-gov.mail.protection.outlook.com.,5,IN,MX
artesianm.gov,artesianm-gov.mail.protection.outlook.com.,10,IN,MX
arthur-il.gov,aspmx.l.google.com.,1,IN,MX
artreasury.gov,d126328a.ess.barracudanetworks.com.,10,IN,MX
artrs.gov,mail.artrs.gov.,10,IN,MX
arts.gov,arts-gov.mail.eo.outlook.com.,0,IN,MX
arvadafireco.gov,arvadafireco-gov.mail.protection.outlook.com.,0,IN,MX
as.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
asc.gov,asc-gov.mail.protection.outlook.com.,0,IN,MX
ascensionparishla.gov,ascensionparishla-gov.mail.protection.outlook.com.,4,IN,MX
aselectionoffice.gov,mail.aselectionoffice.gov.,0,IN,MX
ashburnham-ma.gov,ashburnhamma-gov02e.mail.protection.outlook.com.,0,IN,MX
ashbyma.gov,ashbyma-gov.mail.protection.outlook.com.,0,IN,MX
asheboronc.gov,mail.asheboronc.gov.,10,IN,MX
ashevillenc.gov,aspmx.l.google.com.,1,IN,MX
ashgrovemo.gov,ashgrovemo-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcitytn.gov,ashlandcitytn-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcountywi.gov,d296494a.ess.barracudanetworks.com.,10,IN,MX
ashlandky.gov,ashlandky-gov.mail.protection.outlook.com.,0,IN,MX
ashlandva.gov,ashlandva-gov.mail.protection.outlook.com.,0,IN,MX
ashtabulacountyprosecutoroh.gov,ashtabulacountyprosecutoroh.gov.,0,IN,MX
