url,exchange,preference,class,type
2020census.gov,mail2.census.gov.,50.0,IN,MX
22007apply.gov,,,,
29palmsbomi-nsn.gov,,,,
29palmsgaming-nsn.gov,,,,
400yaahc.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
4thjdcar.gov,,,,
59dcmi.gov,,,,
9-11commission.gov,,,,
abbevillecountysc.gov,,,,
aberdeenmd.gov,d231943b.ess.barracudanetworks.com.,20.0,IN,MX
aberdeenwa.gov,,,,
abilityone.gov,,,,
abingdon-va.gov,us-smtp-inbound-2.mimecast.com.,10.0,IN,MX
abingtonma.gov,d166440b.ess.barracudanetworks.com.,20.0,IN,MX
abingtonpa.gov,,,,
abitaspringsla.gov,d182365b.ess.barracudanetworks.com.,10.0,IN,MX
abmc.gov,,,,
abseconnj.gov,,,,
access-board.gov,,,,
acf.gov,smtp.ees.hhs.gov.,20.0,IN,MX
achp.gov,alt1.us.etp.fireeyegov.com.,20.0,IN,MX
acl.gov,smtp2.ees.hhs.gov.,10.0,IN,MX
acnj.gov,d253617b.ess.barracudanetworks.com.,10.0,IN,MX
acnjpolice.gov,d316890b.ess.barracudanetworks.com.,10.0,IN,MX
acsd-az.gov,mx20.antispam.mailspamprotection.com.,20.0,IN,MX
acton-ma.gov,acton-ma.gov.2.0001.arsmtp.com.,20.0,IN,MX
actonma.gov,actonma.gov.2.0001.arsmtp.com.,20.0,IN,MX
actransit.gov,us-smtp-inbound-2.mimecast.com.,0.0,IN,MX
acus.gov,,,,
acworth-ga.gov,mgw2.trinsictech.com.,10.0,IN,MX
adaircomo.gov,mx1-us1.ppe-hosted.com.,20.0,IN,MX
adaircosomo.gov,d317435b.ess.barracudanetworks.com.,20.0,IN,MX
adak-ak.gov,,,,
adamn.gov,mx2-us1.ppe-hosted.com.,10.0,IN,MX
adamscountyco.gov,,,,
adamscountyemsoh.gov,,,,
adamscountyil.gov,d313368b.ess.barracudanetworks.com.,20.0,IN,MX
adamscountyms.gov,mx2.zoho.com.,20.0,IN,MX
adamscountyne.gov,cloud15.spamtitan.com.,0.0,IN,MX
adamscountyoh.gov,,,,
adamscountypa.gov,mx2.hc5110-98.iphmx.com.,9.0,IN,MX
addisontx.gov,us-smtp-inbound-2.mimecast.com.,10.0,IN,MX
addisonwi.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
adelantoca.gov,d215745b.ess.barracudanetworks.com.,5.0,IN,MX
adf.gov,,,,
adlnet.gov,,,,
adrianmi.gov,,,,
adriantwpmi.gov,,,,
afrh.gov,,,,
africanamericanhistorymonth.gov,pps2.loc.gov.,5.0,IN,MX
aftac.gov,sxht-esa-002u.aftac.gov.,5.0,IN,MX
aftonwyoming.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
aguacaliente-nsn.gov,,,,
agutah.gov,,,,
aha-nsn.gov,,,,
ahcpr.gov,smtp.ees.hhs.gov.,20.0,IN,MX
ahidta.gov,mx2-us1.ppe-hosted.com.,1.0,IN,MX
ahoskienc.gov,,,,
ahrq.gov,alt1.us.etp.fireeyegov.com.,20.0,IN,MX
aids.gov,smtp.ees.hhs.gov.,20.0,IN,MX
aikencountysc.gov,d215592b.ess.barracudanetworks.com.,10.0,IN,MX
aitkincountymn.gov,,,,
