url,strings
59dcmi.gov,"(b'v=spf1 include:spf.protection.outlook.com -all',)"
59dcmi.gov,"(b'nn1pa5m4l69d37hod682e25afk',)"
aberdeenmd.gov,"(b'vZLAFsw7To+2ac6QniA08U0Avlc+0/BXj1qiscCqHPsGY8Y9kU4qFJhNXhbuu+NBtcAQKQ48OZl+Kxhls5Jcww==',)"
aberdeenmd.gov,"(b'v=spf1 a ip4:50.253.34.208/29 ip4:167.102.247.32/28 include:spf.protection.outlook.com include:servers.mcsv.net include:spf.ess.barracudanetworks.com include:spf.cloud.mip.com -all',)"
aberdeenmd.gov,"(b'5hz3rrljb3skybwt6gjwdhdbcc73mdwt',)"
aberdeenwa.gov,"(b'vkvot97g06o57o0qo6og0aqq07',)"
aberdeenwa.gov,"(b'apple-domain-verification=mMrM8dtrx5kHPdCO',)"
aberdeenwa.gov,"(b'v=spf1 ip4:104.129.154.50 include:spf.protection.outlook.com -all',)"
aberdeenwa.gov,"(b'MS=ms46138941',)"
abingdon-va.gov,"(b'v=verifydomain MS=4312027',)"
abingdon-va.gov,"(b'MS=ms82710397',)"
abingdon-va.gov,"(b'v=spf1 include:us._netblocks.mimecast.com ip4:216.184.72.145 mx ~all',)"
abingtonma.gov,"(b'MS=ms68672003',)"
abingtonma.gov,"(b'v=spf1 include:spf.protection.outlook.com include:spf.ess.barracudanetworks.com -all',)"
abingtonpa.gov,"(b'v=verifydomain MS=2673676',)"
abingtonpa.gov,"(b'v=spf1 include:spf.protection.outlook.com -all',)"
abitaspringsla.gov,"(b'v=spf1 include:spf.ess.barracudanetworks.com include:spf.protection.outlook.com -all',)"
abitaspringsla.gov,"(b'MS=ms88498647',)"
abitaspringsla.gov,"(b'TG=9w49z4',)"
abseconnj.gov,"(b'v=spf1 +a +mx +ip4:143.95.158.21 ~all',)"
acnj.gov,"(b'BPL=7645956',)"
acnj.gov,"(b'v=spf1 ip4:65.209.116.78 a mx include:spf.protection.outlook.com include:spf.ess.barracudanetworks.com ~all',)"
acnj.gov,"(b'MS=ms48915964',)"
acnjpolice.gov,"(b'v=spf1 include:spf.protection.outlook.com -all',)"
acnjpolice.gov,"(b'MS=ms45770926',)"
acton-ma.gov,"(b'v=spf1 ip4:72.93.205.226 ip4:72.93.205.228 ip4:72.93.205.232 ip4:208.64.237.225 ip4:208.64.239.226 include:emailus.freshservice.com ~all',)"
acton-ma.gov,"(b'MS=ms10327904',)"
actonma.gov,"(b'v=spf1 ip4:72.93.205.226 ip4:72.93.205.228 ip4:72.93.205.232 ip4:208.64.237.225 ip4:208.64.239.226 include:emailus.freshservice.com ~all',)"
actonma.gov,"(b'google-site-verification=0jVzI1sPGw9XpOCL6v7cNnVi4gP_B9ep0JWeij77h3c',)"
acworth-ga.gov,"(b'sophos-domain-verification=b49c9fc48514e0fad666e9eebe26126e1471651f628ddd8a4d4ebe745b93b5d5',)"
adak-ak.gov,"(b'v=spf1 include:spf.protection.outlook.com -all',)"
adamn.gov,"(b'ppe-1104d2802dfac29951d72615aa55111c482263e6',)"
adamn.gov,"(b'v=spf1 ip4:70.40.42.57 ip4:66.234.112.97 a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com -all',)"
addisontx.gov,"(b'apple-domain-verification=UF3G2j7nfCr4G0Zr',)"
addisontx.gov,"(b'0ed1fe018a0f7712f710dc42e896727cb72f4bfaff',)"
addisontx.gov,"(b'MS=ms26506444',)"
addisontx.gov,"(b'mandrill_verify.VVhL_Y6clPX7n4E6epAANQ',)"
